text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_without_stopword,label
"Yeps, bukan cuma ""omicron tidak seberbahaya delta"", tapi dampak dari peraturan yg akan dikeluarkan pemerintah. Ini aja kita baru ""bangun"" perekonomiannya, gakebayang kalo dimulai lagi. Yeps covid Gak hanya kita kena penyakit dan (alhamdulillah) sembuh..",yeps bukan cuma omicron tidak seberbahaya delta tapi dampak dari peraturan yg akan dikeluarkan pemerintah ini aja kita baru bangun perekonomiannya gakebayang kalo dimulai lagi yeps covid gak hanya kita kena penyakit dan alhamdulillah sembuh,yeps omicron bahaya delta dampak atur yg perintah aja bangun ekonomi gakebayang kalo yeps covid gak sakit alhamdulillah sembuh,yeps omicron bahaya delta dampak atur yang perintah saja bangun ekonomi gakebayang kalau yeps covid enggak sakit alhamdulillah sembuh,yeps omicron bahaya delta dampak atur yang perintah saja bangun ekonomi gakebayang kalau yeps covid enggak sakit alhamdulillah sembuh,yeps omicron bahaya delta dampak atur yang perintah saja bangun ekonomi gakebayang kalau yeps covid tidak sakit alhamdulillah sembuh,1
"Sudah Kali Vaksin, Pria Ini Meninggal Dunia Setelah Terinfeksi Omicron",sudah kali vaksin pria ini meninggal dunia setelah terinfeksi omicron,vaksin pria tinggal dunia infeksi omicron,vaksin pria tinggal dunia infeksi omicron,vaksin pria tinggal dunia infeksi omicron,vaksin pria tinggal dunia infeksi omicron,0
"Kesimpulan sementaraku gini: . Ada kemungkinan kami kena varian Omicron (dilihat dari gejalanya). Kami jd ga ada mslh penciuman/pengecapan. . Meski fully vaccinated ttp kudu waspada. . Dibandingkan dgn yg sdh suntik booster, yg blm suntik booster mengalami demam tinggi.",kesimpulan sementaraku gini ada kemungkinan kami kena varian omicron dilihat dari gejalanya kami jd ga ada mslh penciuman pengecapan meski fully vaccinated ttp kudu waspada dibandingkan dgn yg sdh suntik booster yg blm suntik booster mengalami demam tinggi,simpul gin varian omicron gejala jd ga mslh cium kecap fully vaccinated ttp kudu waspada banding dgn yg sdh suntik booster yg blm suntik booster alami demam tinggi,simpul gin varian omicron gejala jadi enggak masalah cium kecap fully vaccinated tetap harus waspada banding dengan yang sudah suntik booster yang belum suntik booster alami demam tinggi,simpul gini varian omicron gejala jadi enggak masalah cium kecap fully vaccinated tetap harus waspada banding dengan yang sudah suntik booster yang belum suntik booster alami demam tinggi,simpul begini varian omicron gejala jadi tidak masalah cium kecap fully vaccinated tetap harus waspada banding dengan yang sudah suntik booster yang belum suntik booster alami demam tinggi,1
Ada mana laporan tentang kematian di sebabkan Omicron ke? Aku tak perasan.,ada mana laporan tentang kematian di sebabkan omicron ke aku tak perasan,lapor mati omicron peras,lapor mati omicron peras,lapor mati omicron peras,lapor mati omicron peras,1
"Orang-orang kaya liburan ke Turki, pulang bawa omicron nulari rakyat yang taat prokes.",orang orang kaya liburan ke turki pulang bawa omicron nulari rakyat yang taat prokes,kaya libur turki pulang bawa omicron nulari rakyat taat prokes,kayak libur turki pulang bawa omicron nulari rakyat taat prokes,kayak libur turki pulang bawa omicron nulari rakyat taat prokes,kayak libur turki pulang bawa omicron nulari rakyat taat prokes,1
"Jangan anggap remeh! omicron gak berbahaya, cuman cepet aja nyebarnya, gejalanya ringan, santai aja wes. hehhh, gelombang ketiga bisa terjadi gegara omicron, rumah sakit penuh nanti bisa chaos lagi. yok tetap Waspada jaga diri!",jangan anggap remeh omicron gak berbahaya cuman cepet aja nyebarnya gejalanya ringan santai aja wes hehhh gelombang ketiga bisa terjadi gegara omicron rumah sakit penuh nanti bisa chaos lagi yok tetap waspada jaga diri,anggap remeh omicron gak bahaya cuman cepet aja nyebarnya gejala ringan santai aja wes hehhh gelombang gegara omicron rumah sakit penuh chaos yok waspada jaga,anggap remeh omicron enggak bahaya Cuma cepat saja nyebarnya gejala ringan santai saja wes hehhh gelombang gegara omicron rumah sakit penuh chaos yuk waspada jaga,anggap remeh omicron enggak bahaya Cuma cepat saja nyebarnya gejala ringan santai saja wes hehhh gelombang gegara omicron rumah sakit penuh chaos yuk waspada jaga,anggap remeh omicron tidak bahaya cuma cepat saja nyebarnya gejala ringan santai saja wes hehhh gelombang gegara omicron rumah sakit penuh chaos ayo waspada jaga,1
"Kementerian kesehatan RI menyatakan bahwa ada orang warga negara Indonesia yang baru saja pulang dari Turki yang terkonfirmasi positif Covid-19 varian omicron, di antaranya adalah pesohor Ashanty dan keluarga besannya yang ikut dalam rombongan tersebut dan sudah isolasi.",kementerian kesehatan ri menyatakan bahwa ada orang warga negara indonesia yang baru saja pulang dari turki yang terkonfirmasi positif covid varian omicron di antaranya adalah pesohor ashanty dan keluarga besannya yang ikut dalam rombongan tersebut dan sudah isolasi,menteri sehat ri warga negara indonesia pulang turki konfirmasi positif covid varian omicron sohor ashanty keluarga besan rombong isolasi,menteri sehat ri warga negara indonesia pulang turki konfirmasi positif covid varian omicron sohor ashanty keluarga besan rombong isolasi,menteri sehat ri warga negara indonesia pulang turki konfirmasi positif covid varian omicron sohor ashanty keluarga besan rombong isolasi,menteri sehat ri warga negara indonesia pulang turki konfirmasi positif covid varian omicron sohor ashanty keluarga besan rombong isolasi,1
Tengo omicron,tengo omicron,tengo omicron,tengo omicron,tengo omicron,tengo omicron,0
"Dulu kalo abis keluar negeri dinamain covid, sekarang karena ada varian baru jadi dipakelah nama omicron",dulu kalo abis keluar negeri dinamain covid sekarang karena ada varian baru jadi dipakelah nama omicron,kalo abis negeri dinamain covid varian dipakelah nama omicron,kalau habis negeri dinamain covid varian dipakelah nama omicron,kalau habis negeri dinamain covid varian dipakelah nama omicron,kalau habis negeri dinamain covid varian dipakelah nama omicron,1
Jangan jadi beban negara. Kelak kalau sampai omicron meledak di Indonesia. Nama Ashanty dan Halilintar bakal menjadi trending lho.,jangan jadi beban negara kelak kalau sampai omicron meledak di indonesia nama ashanty dan halilintar bakal menjadi trending lho,beban negara kelak omicron ledak indonesia nama ashanty halilintar trending lho,beban negara kelak omicron ledak indonesia nama ashanty halilintar trend lho,beban negara kelak omicron ledak indonesia nama ashanty halilintar trend lho,beban negara kelak omicron ledak indonesia nama ashanty halilintar trend lho,1
"jika omicron (mie kribo) dialami penerima vaksin lengkap harusnya hentikan memaksa vaksin pd masy, ini sih logika gw yg bukan org kesehatan ....",jika omicron mie kribo dialami penerima vaksin lengkap harusnya hentikan memaksa vaksin pd masy ini sih logika gw yg bukan org kesehatan,omicron mie kribo alami terima vaksin lengkap henti paksa vaksin pd masy sih logika gw yg org sehat,omicron mie kribo alami terima vaksin lengkap henti paksa vaksin pada masyarakat sih logika gue yang orang sehat,omicron mie kribo alami terima vaksin lengkap henti paksa vaksin pada masyarakat sih logika aku yang orang sehat,omicron mie kribo alami terima vaksin lengkap henti paksa vaksin pada masyarakat sih logika aku yang orang sehat,0
"Alamat dirumahkan lagi, omicron naik terus",alamat dirumahkan lagi omicron naik terus,alamat rumah omicron,alamat rumah omicron,alamat rumah omicron,alamat rumah omicron,1
"Kami bergejala ringan bisa jd krn memang kenanya Omicron yg katanya gejalanya ringan, bisa jadi krn perlindungan vaksin jd gak kena gejala parah. Kami semua sudah fully vaccinated. Dari kami ber-4 yg terkonfirmasi positif, yg pakai demam tinggi adlh yg blm sempat suntik booster.",kami bergejala ringan bisa jd krn memang kenanya omicron yg katanya gejalanya ringan bisa jadi krn perlindungan vaksin jd gak kena gejala parah kami semua sudah fully vaccinated dari kami ber yg terkonfirmasi positif yg pakai demam tinggi adlh yg blm sempat suntik booster,gejala ringan jd krn omicron yg gejala ringan krn lindung vaksin jd gak gejala parah fully vaccinated ber yg konfirmasi positif yg pakai demam tinggi adlh yg blm suntik booster,gejala ringan jadi karena omicron yang gejala ringan karena lindung vaksin jadi enggak gejala parah fully vaccinated ber yang konfirmasi positif yang pakai demam tinggi adalah yang belum suntik booster,gejala ringan jadi karena omicron yang gejala ringan karena lindung vaksin jadi enggak gejala parah fully vaccinated ber yang konfirmasi positif yang pakai demam tinggi adalah yang belum suntik booster,gejala ringan jadi karena omicron yang gejala ringan karena lindung vaksin jadi tidak gejala parah fully vaccinated ber yang konfirmasi positif yang pakai demam tinggi adalah yang belum suntik booster,1
"Baru hari PTM, kembali BDR sampai waktu tak ditentukan Omicron oh omicron",baru hari ptm kembali bdr sampai waktu tak ditentukan omicron oh omicron,ptm bdr waktu omicron oh omicron,ptm bdr waktu omicron oh omicron,ptm bdr waktu omicron oh omicron,ptm bdr waktu omicron oh omicron,1
"!upi padahal aku udah nahan buat ga jalan2 sama keluarga karna ada omicron, tp knp ya org2 pada jalan2",upi padahal aku udah nahan buat ga jalan sama keluarga karna ada omicron tp knp ya org pada jalan,upi udah nahan ga jalan keluarga karna omicron tp knp org jalan,upi sudah menahan enggak jalan keluarga karena omicron tapi kenapa orang jalan,upi sudah menahan enggak jalan keluarga karena omicron tapi kenapa orang jalan,upi sudah tahan tidak jalan keluarga karena omicron tapi kenapa orang jalan,1
Awal covid heboh di luar2 sono respon pemerintah slow bet dah Sekarang ada lgi omicron iya omicron padahal tau lgi rame omicron eh org2 dibolehin ngejemput si omicron (akses bebas minim prokes) emng dabest,awal covid heboh di luar sono respon pemerintah slow bet dah sekarang ada lgi omicron iya omicron padahal tau lgi rame omicron eh org dibolehin ngejemput si omicron akses bebas minim prokes emng dabest,covid heboh sono respon perintah slow bet dah lgi omicron iya omicron tau lgi rame omicron eh org dibolehin ngejemput si omicron akses bebas minim prokes emng dabest,covid heboh sono respon perintah slow banget deh lagi omicron iya omicron tahu lagi ramai omicron eh orang dibolehin ngejemput sih omicron akses bebas minim prokes memang dabest,covid heboh sono respon perintah slow banget deh lagi omicron iya omicron tahu lagi ramai omicron eh orang dibolehin ngejemput sih omicron akses bebas minim prokes memang dabest,covid heboh sono respon perintah slow banget deh lagi omicron iya omicron tahu lagi ramai omicron eh orang dibolehin ngejemput sih omicron akses bebas minim prokes memang dabest,1
"Setuju banget, omicron tak berbahaya yang berhaya kadrun bin kampret",setuju banget omicron tak berbahaya yang berhaya kadrun bin kampret,banget omicron bahaya berhaya kadrun bin kampret,banget omicron bahaya berhaya kadrun bin sialan,banget omicron bahaya berhaya kadrun bin sialan,banget omicron bahaya berhaya kadrun bin sial,0
"Wow keren, sayang skrg di Inggris sdg menggila Omicron.",wow keren sayang skrg di inggris sdg menggila omicron,wow keren sayang skrg inggris sdg gila omicron,wow keren sayang sekarang inggris sedang gila omicron,wow keren sayang sekarang inggris sedang gila omicron,wow keren sayang sekarang inggris sedang gila omicron,1
"Balik dikurung lagi, omicron anjing",balik dikurung lagi omicron anjing,kurung omicron anjing,kurung omicron anjing,kurung omicron anjing,kurung omicron anjing,0
kenapa pada saat omicron menanjak naik malah diwajibkan utk anak2 SD utk mulai PTM di sekolah ?,kenapa pada saat omicron menanjak naik malah diwajibkan utk anak sd utk mulai ptm di sekolah,omicron tanjak wajib utk anak sd utk ptm sekolah,omicron tanjak wajib untuk anak sd untuk ptm sekolah,omicron tanjak wajib untuk anak sd untuk ptm sekolah,omicron tanjak wajib untuk anak sd untuk ptm sekolah,1
"Akhirnya kewalahan sendiri membendung omicron, eh salah, ikan bandeng",akhirnya kewalahan sendiri membendung omicron eh salah ikan bandeng,kewalahan bendung omicron eh salah ikan bandeng,kewalahan bendung omicron eh salah ikan bandeng,kewalahan bendung omicron eh salah ikan bandeng,kewalahan bendung omicron eh salah ikan bandeng,1
Vaksin sinovac-sinophram mampu cegah kematian akibat omicron,vaksin sinovac sinophram mampu cegah kematian akibat omicron,vaksin sinovac sinophram cegah mati akibat omicron,vaksin sinovac sinophram cegah mati akibat omicron,vaksin sinovac sinophram cegah mati akibat omicron,vaksin sinovac sinophram cegah mati akibat omicron,1
"Kayaknya krn Omicron ini cepat bgt menular. Dari semua yg makan bersama hari itu, pulang2 sebagian besar langsung meriang. Skrg udah orang yg terkonfirmasi positif. Yang lainnya ada yg negatif kayak Pak Jay, masih nunggu hasil tes, atau yg blm kasih update gmn keadaan mrk.",kayaknya krn omicron ini cepat bgt menular dari semua yg makan bersama hari itu pulang sebagian besar langsung meriang skrg udah orang yg terkonfirmasi positif yang lainnya ada yg negatif kayak pak jay masih nunggu hasil tes atau yg blm kasih update gmn keadaan mrk,kayak krn omicron cepat bgt tular yg makan pulang meriang skrg udah yg konfirmasi positif yg negatif kayak jay nunggu hasil tes yg blm kasih update gmn mrk,kayak karena omicron cepat banget tular yang makan pulang meriang sekarang sudah yang konfirmasi positif yang negatif kayak jay menunggu hasil tes yang belum kasih update bagaimana mereka,kayak karena omicron cepat banget tular yang makan pulang meriang sekarang sudah yang konfirmasi positif yang negatif kayak jay menunggu hasil tes yang belum kasih update bagaimana mereka,kayak karena omicron cepat banget tular yang makan pulang meriang sekarang sudah yang konfirmasi positif yang negatif kayak jay tunggu hasil tes yang belum kasih update bagaimana mereka,1
"bgus, omicron jg jdi alesan",bgus omicron jg jdi alesan,bgus omicron jg jdi alesan,bagus omicron juga jadi alesan,bagus omicron juga jadi alesan,bagus omicron juga jadi alesan,1
sebenarnya mrk percaya omicron benar virus yg terjadi krn alami atau disebar sengaja sih? mrk kan org cerdas. utk semua org didunia . maunya nurut NWO,sebenarnya mrk percaya omicron benar virus yg terjadi krn alami atau disebar sengaja sih mrk kan org cerdas utk semua org didunia maunya nurut nwo,mrk percaya omicron virus yg krn alami sebar sengaja sih mrk org cerdas utk org dunia nurut nwo,mereka percaya omicron virus yang karena alami sebar sengaja sih mereka orang cerdas untuk orang dunia nurut nwo,mereka percaya omicron virus yang karena alami sebar sengaja sih mereka orang cerdas untuk orang dunia nurut nwo,mereka percaya omicron virus yang karena alami sebar sengaja sih mereka orang cerdas untuk orang dunia nurut nwo,0
"Apa Yang Harus Kita Lakukan Untuk Hadapi Varian Omicron? Pandemi Covid-19 harus ditangani dengan komitmen bersama serta dilakukan secara disiplin, kompak dan konsisten. Apa yang harus dilakukan?",apa yang harus kita lakukan untuk hadapi varian omicron pandemi covid harus ditangani dengan komitmen bersama serta dilakukan secara disiplin kompak dan konsisten apa yang harus dilakukan,varian omicron pandemi covid tangan komitmen disiplin kompak konsisten,varian omicron pandemi covid tangan komitmen disiplin kompak konsisten,varian omicron pandemi covid tangan komitmen disiplin kompak konsisten,varian omicron pandemi covid tangan komitmen disiplin kompak konsisten,1
